gene,gene_start,gene_end,CHROM,gene_length
chr1:74982179-75207662,74982179,75207662,1,225484
chr1:75207662-75434142,75207662,75434142,1,226481
chr1:75434142-75655103,75434142,75655103,1,220962
chr1:75655103-75902873,75655103,75902873,1,247771
chr1:75902873-76117451,75902873,76117451,1,214579
chr1:76117451-76329148,76117451,76329148,1,211698
chr1:76329148-76545258,76329148,76545258,1,216111
chr1:76545258-76755553,76545258,76755553,1,210296
chr1:76755553-76976166,76755553,76976166,1,220614
chr1:76976166-77200329,76976166,77200329,1,224164
chr1:77200329-77412631,77200329,77412631,1,212303
chr1:77412631-77627527,77412631,77627527,1,214897
chr1:77627527-77857880,77627527,77857880,1,230354
chr1:77857880-78085607,77857880,78085607,1,227728
chr1:78085607-78324280,78085607,78324280,1,238674
chr1:78324280-78539295,78324280,78539295,1,215016
chr1:78539295-78753021,78539295,78753021,1,213727
chr1:78753021-78972719,78753021,78972719,1,219699
chr1:78972719-79185514,78972719,79185514,1,212796
chr1:79185514-79396068,79185514,79396068,1,210555
chr1:79396068-79618444,79396068,79618444,1,222377
chr1:79618444-79835041,79618444,79835041,1,216598
chr1:79835041-80060761,79835041,80060761,1,225721
chr1:80060761-80276299,80060761,80276299,1,215539
chr1:80276299-80496602,80276299,80496602,1,220304
chr1:80496602-80710944,80496602,80710944,1,214343
chr1:80710944-80922134,80710944,80922134,1,211191
chr1:80922134-81140456,80922134,81140456,1,218323
chr1:81140456-81352426,81140456,81352426,1,211971
chr1:81352426-81563831,81352426,81563831,1,211406
chr1:81563831-81782033,81563831,81782033,1,218203
chr1:81782033-81989256,81782033,81989256,1,207224
chr1:81989256-82207676,81989256,82207676,1,218421
chr1:82207676-82424272,82207676,82424272,1,216597
chr1:82424272-82633965,82424272,82633965,1,209694
chr1:82633965-82840724,82633965,82840724,1,206760
chr1:82840724-83497455,82840724,83497455,1,656732
chr1:83497455-83709641,83497455,83709641,1,212187
chr1:83709641-83918435,83709641,83918435,1,208795
chr1:83918435-84133979,83918435,84133979,1,215545
chr1:84133979-84347979,84133979,84347979,1,214001
chr1:84347979-84564540,84347979,84564540,1,216562
chr1:84564540-84776670,84564540,84776670,1,212131
chr1:84776670-84990785,84776670,84990785,1,214116
chr1:84990785-85209426,84990785,85209426,1,218642
chr1:85209426-85423257,85209426,85423257,1,213832
chr1:85423257-85640098,85423257,85640098,1,216842
chr1:85640098-85881026,85640098,85881026,1,240929
chr1:85881026-86105707,85881026,86105707,1,224682
chr1:86105707-86330996,86105707,86330996,1,225290
chr1:86330996-86549916,86330996,86549916,1,218921
chr1:86549916-86785880,86549916,86785880,1,235965
chr1:86785880-87020136,86785880,87020136,1,234257
chr1:87020136-87227189,87020136,87227189,1,207054
chr1:87227189-87442092,87227189,87442092,1,214904
chr1:87442092-87662189,87442092,87662189,1,220098
chr1:87662189-87870078,87662189,87870078,1,207890
chr1:87870078-88075229,87870078,88075229,1,205152
chr1:88075229-88284944,88075229,88284944,1,209716
chr1:88284944-88497189,88284944,88497189,1,212246
chr1:88497189-88711016,88497189,88711016,1,213828
chr1:88711016-88941106,88711016,88941106,1,230091
chr1:88941106-89176544,88941106,89176544,1,235439
chr1:89176544-89411495,89176544,89411495,1,234952
chr1:89411495-89640959,89411495,89640959,1,229465
chr1:89640959-89862637,89640959,89862637,1,221679
chr1:89862637-90083999,89862637,90083999,1,221363
chr1:90083999-90312540,90083999,90312540,1,228542
chr1:90312540-90522150,90312540,90522150,1,209611
chr1:90522150-90736781,90522150,90736781,1,214632
chr1:90736781-90952738,90736781,90952738,1,215958
chr1:90952738-91185166,90952738,91185166,1,232429
chr1:91185166-91438398,91185166,91438398,1,253233
chr1:91438398-91659746,91438398,91659746,1,221349
chr1:91659746-91877195,91659746,91877195,1,217450
chr1:91877195-92110011,91877195,92110011,1,232817
chr1:92110011-92342145,92110011,92342145,1,232135
chr1:92342145-92582895,92342145,92582895,1,240751
chr1:92582895-92824003,92582895,92824003,1,241109
chr1:92824003-93051176,92824003,93051176,1,227174
chr1:93051176-93273930,93051176,93273930,1,222755
chr1:93273930-93503510,93273930,93503510,1,229581
chr1:93503510-93721891,93503510,93721891,1,218382
chr1:93721891-93959195,93721891,93959195,1,237305
chr1:93959195-94173877,93959195,94173877,1,214683
chr1:94173877-94395435,94173877,94395435,1,221559
chr1:94395435-94619865,94395435,94619865,1,224431
chr1:94619865-94835732,94619865,94835732,1,215868
chr1:94835732-95051291,94835732,95051291,1,215560
chr1:95051291-95277904,95051291,95277904,1,226614
chr1:95277904-95494962,95277904,95494962,1,217059
chr1:95494962-95703585,95494962,95703585,1,208624
chr1:95703585-95915690,95703585,95915690,1,212106
chr1:95915690-96130330,95915690,96130330,1,214641
chr1:96130330-96353952,96130330,96353952,1,223623
chr1:96353952-96575849,96353952,96575849,1,221898
chr1:96575849-96805114,96575849,96805114,1,229266
chr1:96805114-97020061,96805114,97020061,1,214948
chr1:97020061-97228919,97020061,97228919,1,208859
chr1:97228919-97452591,97228919,97452591,1,223673
chr1:97452591-97663949,97452591,97663949,1,211359
chr1:97663949-97870488,97663949,97870488,1,206540
chr1:97870488-98074839,97870488,98074839,1,204352
chr1:98074839-98290020,98074839,98290020,1,215182
chr1:98290020-98497589,98290020,98497589,1,207570
chr1:98497589-98720135,98497589,98720135,1,222547
chr1:98720135-98936487,98720135,98936487,1,216353
chr1:98936487-99152441,98936487,99152441,1,215955
chr1:99152441-99371885,99152441,99371885,1,219445
chr1:99371885-99598181,99371885,99598181,1,226297
chr1:99598181-99814521,99598181,99814521,1,216341
chr1:99814521-100038888,99814521,100038888,1,224368
chr1:100038888-100263048,100038888,100263048,1,224161
chr1:100263048-100479752,100263048,100479752,1,216705
chr1:100479752-100710884,100479752,100710884,1,231133
chr1:100710884-100930007,100710884,100930007,1,219124
chr1:100930007-101145683,100930007,101145683,1,215677
chr1:101145683-101363050,101145683,101363050,1,217368
chr1:101363050-101577456,101363050,101577456,1,214407
chr1:101577456-101793614,101577456,101793614,1,216159
chr1:101793614-102000957,101793614,102000957,1,207344
chr1:102000957-102214987,102000957,102214987,1,214031
chr1:102214987-102432771,102214987,102432771,1,217785
chr1:102432771-102659015,102432771,102659015,1,226245
chr1:102659015-102883863,102659015,102883863,1,224849
chr1:102883863-103829338,102883863,103829338,1,945476
chr1:103829338-104047741,103829338,104047741,1,218404
chr1:104047741-104265349,104047741,104265349,1,217609
chr1:104265349-104485605,104265349,104485605,1,220257
chr1:104485605-104709789,104485605,104709789,1,224185
chr1:104709789-104942575,104709789,104942575,1,232787
chr1:104942575-105153238,104942575,105153238,1,210664
chr1:105153238-105375765,105153238,105375765,1,222528
chr1:105375765-105588691,105375765,105588691,1,212927
chr1:105588691-105803452,105588691,105803452,1,214762
chr1:105803452-106025160,105803452,106025160,1,221709
chr1:106025160-106240899,106025160,106240899,1,215740
chr1:106240899-106459323,106240899,106459323,1,218425
chr1:106459323-106675204,106459323,106675204,1,215882
chr1:106675204-106885026,106675204,106885026,1,209823
chr1:106885026-107100107,106885026,107100107,1,215082
chr1:107100107-107307938,107100107,107307938,1,207832
chr1:107307938-107512829,107307938,107512829,1,204892
chr1:107512829-107728221,107512829,107728221,1,215393
chr1:107728221-107942131,107728221,107942131,1,213911
chr1:107942131-108601511,107942131,108601511,1,659381
chr1:108601511-108819473,108601511,108819473,1,217963
chr1:108819473-109049087,108819473,109049087,1,229615
chr1:109049087-109280696,109049087,109280696,1,231610
chr1:109280696-109500052,109280696,109500052,1,219357
chr1:109500052-109738678,109500052,109738678,1,238627
chr1:109738678-109964685,109738678,109964685,1,226008
chr1:109964685-110172002,109964685,110172002,1,207318
chr1:110172002-110383382,110172002,110383382,1,211381
chr1:110383382-110594702,110383382,110594702,1,211321
chr1:110594702-110802908,110594702,110802908,1,208207
chr1:110802908-111026818,110802908,111026818,1,223911
chr1:111026818-111251378,111026818,111251378,1,224561
chr1:111251378-111476812,111251378,111476812,1,225435
chr1:111476812-111697035,111476812,111697035,1,220224
chr1:111697035-111902720,111697035,111902720,1,205686
chr1:111902720-112106813,111902720,112106813,1,204094
chr1:112106813-112343438,112106813,112343438,1,236626
chr1:112343438-112564006,112343438,112564006,1,220569
chr1:112564006-112796771,112564006,112796771,1,232766
chr1:112796771-113055562,112796771,113055562,1,258792
chr1:113055562-113284097,113055562,113284097,1,228536
chr1:113284097-113520679,113284097,113520679,1,236583
chr1:113520679-113752166,113520679,113752166,1,231488
chr1:113752166-113972000,113752166,113972000,1,219835
chr1:113972000-114188923,113972000,114188923,1,216924
chr1:114188923-114412694,114188923,114412694,1,223772
chr1:114412694-114636864,114412694,114636864,1,224171
chr1:114636864-114858966,114636864,114858966,1,222103
chr1:114858966-115087797,114858966,115087797,1,228832
chr1:115087797-115298237,115087797,115298237,1,210441
chr1:115298237-115511499,115298237,115511499,1,213263
chr1:115511499-115734313,115511499,115734313,1,222815
chr1:115734313-115947627,115734313,115947627,1,213315
chr1:115947627-116171919,115947627,116171919,1,224293
chr1:116171919-116382224,116171919,116382224,1,210306
chr1:116382224-116593361,116382224,116593361,1,211138
chr1:116593361-116845842,116593361,116845842,1,252482
chr1:116845842-117064605,116845842,117064605,1,218764
chr1:117064605-117286850,117064605,117286850,1,222246
chr1:117286850-117512220,117286850,117512220,1,225371
chr1:117512220-117728296,117512220,117728296,1,216077
chr1:117728296-117945245,117728296,117945245,1,216950
chr1:117945245-118156882,117945245,118156882,1,211638
chr1:118156882-118377918,118156882,118377918,1,221037
chr1:118377918-118607043,118377918,118607043,1,229126
chr1:118607043-118842234,118607043,118842234,1,235192
chr1:118842234-119061090,118842234,119061090,1,218857
chr1:119061090-119290318,119061090,119290318,1,229229
chr1:119290318-119512633,119290318,119512633,1,222316
chr1:119512633-119749033,119512633,119749033,1,236401
chr1:119749033-145914487,119749033,145914487,1,26165455
chr1:145914487-147248042,145914487,147248042,1,1333556
chr1:147248042-147495119,147248042,147495119,1,247078
chr1:147495119-149912326,147495119,149912326,1,2417208
chr1:149912326-150144266,149912326,150144266,1,231941
chr1:150144266-150387993,150144266,150387993,1,243728
chr1:150387993-150636358,150387993,150636358,1,248366
chr1:150636358-150879075,150636358,150879075,1,242718
chr1:150879075-151128105,150879075,151128105,1,249031
chr1:151128105-151368789,151128105,151368789,1,240685
chr1:151368789-151602464,151368789,151602464,1,233676
chr1:151602464-151825986,151602464,151825986,1,223523
chr1:151825986-152046119,151825986,152046119,1,220134
chr1:152046119-152280279,152046119,152280279,1,234161
chr1:152280279-152517159,152280279,152517159,1,236881
chr1:152517159-152739629,152517159,152739629,1,222471
chr1:152739629-152961365,152739629,152961365,1,221737
chr1:152961365-153187809,152961365,153187809,1,226445
chr1:153187809-153403713,153187809,153403713,1,215905
chr1:153403713-153641402,153403713,153641402,1,237690
chr1:153641402-153878377,153641402,153878377,1,236976
chr1:153878377-154134304,153878377,154134304,1,255928
chr1:154134304-154379780,154134304,154379780,1,245477
chr1:154379780-154607082,154379780,154607082,1,227303
chr1:154607082-154828346,154607082,154828346,1,221265
chr1:154828346-155048430,154828346,155048430,1,220085
chr1:155048430-155291599,155048430,155291599,1,243170
chr1:155291599-155532011,155291599,155532011,1,240413
chr1:155532011-155819060,155532011,155819060,1,287050
chr1:155819060-156064388,155819060,156064388,1,245329
chr1:156064388-156296652,156064388,156296652,1,232265
chr1:156296652-156524193,156296652,156524193,1,227542
chr1:156524193-156746257,156524193,156746257,1,222065
chr1:156746257-156962173,156746257,156962173,1,215917
chr1:156962173-157178251,156962173,157178251,1,216079
chr1:157178251-157417553,157178251,157417553,1,239303
chr1:157417553-157640868,157417553,157640868,1,223316
chr1:157640868-157856425,157640868,157856425,1,215558
chr1:157856425-158071726,157856425,158071726,1,215302
chr1:158071726-158311026,158071726,158311026,1,239301
chr1:158311026-158539792,158311026,158539792,1,228767
chr1:158539792-158750549,158539792,158750549,1,210758
chr1:158750549-158978332,158750549,158978332,1,227784
